date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1807,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1807,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1807,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1808,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1808,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1808,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1808,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1808,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1808,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,40.0,18,PublicFinances1800-2023,,Tax Receipts,,
1808,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1808,Debt Interest9,NMFX,24.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1808,Defence5,,42.0,32,PublicFinances1800-2023,,Government Spending,,
1808,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1808,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1808,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1808,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1808,Income tax1,LIBR-MS62,12.0,5,PublicFinances1800-2023,,Tax Receipts,,
1808,"Index, base year = 100",MM23,12.8,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1808,Land and Assessed Taxes,,8.0,5,PublicFinances1800-2023,,Tax Receipts,,
1808,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1808,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1808,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1808,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",465.0,393,PublicFinances1800-2023,,Economic Indicators,,
1808,Nominal GDP (£m)3,Nominal GDP (£m)3,446.0,355,PublicFinances1800-2023,,Economic Indicators,,
1808,Other Central Government Receipts6,Residual,3.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1808,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
